entity_name,,median_seconds_empty,total_pitches,arm_injury_2022
Doval, Camilo,22.272,507,0
Pérez, Cionel,22.482,398,0
Stanek, Ryne,22.514,376,0
Karinchak, James,22.614,360,0
Kimbrel, Craig,22.748,493,0
López, Reynaldo,22.812,416,0
Hand, Brad,22.912,408,1
Martin, Chris,22.917,341,0
Santana, Dennis,22.92,472,0
Minter, A.J.,23.029,453,0
Kelly, Joe,23.086,329,0
Ramirez, Noé,23.1,378,0
Helsley, Ryan,23.103,387,0
Diekman, Jake,23.533,566,0
Colomé, Alex,23.552,351,0
Pagán, Emilio,23.83,460,0
Staumont, Josh,23.927,333,0
Strickland, Hunter,24.262,471,0
Vesia, Alex,24.456,416,0
Bellatti, Andrew,24.586,414,0
Williams, Devin,24.717,468,0
Finnegan, Kyle,25.543,471,0
Jansen, Kenley,25.579,422,1
Loáisiga, Jonathan,25.761,330,0
Gallegos, Giovanny,25.811,390,0
