Player,Tempo_23,Inj_23,total_pitches_empty,"last_name, first_name",pitcher,ff_avg_speed,si_avg_speed,fc_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,fs_avg_speed,kn_avg_speed,st_avg_speed,sv_avg_speed
Hunter Brown,13.838,0,273,"Brown, Hunter",686613,95.7,,91.8,,88.2,82.9,,,84.6,
Chris Flexen,13.849,0,270,"Flexen, Chris",623167,91.9,90.7,87.9,81.5,81.0,71.7,,,79.3,
Ranger Suárez,13.855,1,312,"Suárez, Ranger",624133,93.4,92.8,87.5,84.4,82.9,75.8,,,,
Julio Urías,13.859,0,629,"Urías, Julio",628711,92.7,94.0,87.1,,86.1,,,,,79.2
Luis Severino,13.86,0,605,"Severino, Luis",622663,96.5,95.8,90.8,84.7,86.7,,,,83.8,
Austin Gomber,13.866,0,268,"Gomber, Austin",596295,90.6,90.6,,84.8,81.6,77.6,,,,
Jake Woodford,13.875,1,441,"Woodford, Jake",663765,92.5,92.0,89.8,82.9,86.2,76.3,,,81.6,
Max Scherzer,13.889,1,244,"Scherzer, Max",453286,93.7,,88.4,84.0,83.8,75.4,,,,
Clarke Schmidt,13.906,0,570,"Schmidt, Clarke",657376,95.2,93.4,91.3,,89.4,83.7,,,86.0,
José Cisnero,13.911,0,552,"Cisnero, José",542585,95.8,95.6,89.0,84.7,88.8,,,,,
Drew Smyly,13.911,0,512,"Smyly, Drew",592767,90.6,91.9,88.6,,,78.6,,,,
Jameson Taillon,13.916,0,365,"Taillon, Jameson",592791,93.7,94.0,88.6,82.2,86.5,80.5,,,80.9,
Trevor Richards,13.926,0,299,"Richards, Trevor",670950,92.8,,,82.8,82.5,,,,,
Matt Moore,13.927,0,652,"Moore, Matt",519043,94.0,95.2,,,84.2,84.3,,,,
Trevor Williams,13.96,0,209,"Williams, Trevor",592866,89.7,88.2,,81.7,83.3,76.7,,,76.7,
Jordan Montgomery,13.963,0,228,"Montgomery, Jordan",656756,93.2,93.3,88.1,87.4,83.5,80.5,,,,
Xzavion Curry,13.991,0,234,"Curry, Xzavion",675540,92.5,,,85.1,87.7,75.1,,,76.8,
Merrill Kelly,13.997,0,463,"Kelly, Merrill",518876,92.2,92.4,90.8,85.4,88.7,82.1,,,,
Ryne Nelson,14.012,0,445,"Nelson, Ryne",669194,94.4,92.9,85.7,81.9,83.3,76.4,,,81.8,
Bailey Falter,14.04,0,465,"Falter, Bailey",663559,90.7,90.7,,84.5,84.6,76.5,85.0,,,
Joey Wentz,14.041,0,777,"Wentz, Joey",666214,93.4,,86.0,,85.0,77.5,,,,
Gavin Williams,14.047,0,338,"Williams, Gavin",668909,95.7,,,84.9,88.5,76.2,,,,
Chase Anderson,14.065,1,724,"Anderson, Chase",502624,93.3,92.9,89.2,83.8,83.9,77.6,,,80.5,
Jordan Lyles,14.076,0,210,"Lyles, Jordan",543475,91.2,90.5,86.8,,85.5,79.4,,,80.2,
Paul Blackburn,14.081,0,224,"Blackburn, Paul",621112,91.9,91.8,88.9,,86.0,79.1,,,80.8,
Eury Pérez,14.081,1,861,"Pérez, Eury",691587,97.5,,,86.4,89.7,81.2,,,,
