year,player,player_key,tempo_seconds_empty,pitches_empty,injury,source_records,in_velocity_merge,player_id,primary_velocity_mph
2022,Alex Cobb,alex cobb,16.85,1131,1,1,1,502171,95.4
2022,Jackson Stephens,jackson stephens,16.858,417,0,1,1,623451,94.1
2022,Amir Garrett,amir garrett,16.864,363,1,1,0,,
2022,Spencer Strider,spencer strider,16.891,994,1,1,1,675911,98.2
2022,Joe Musgrove,joe musgrove,16.906,1320,0,1,1,605397,92.9
2022,Zach Eflin,zach eflin,16.907,541,0,1,1,621107,93.1
2022,Zac Gallen,zac gallen,16.914,1300,0,1,1,668678,94.1
2022,Tyler Duffey,tyler duffey,16.946,347,0,1,0,,
2022,Corey Kluber,corey kluber,16.956,1072,0,1,1,446372,88.9
2022,Jhoan Duran,jhoan duran,16.966,381,0,1,1,661395,100.8
2022,Kutter Crawford,kutter crawford,16.967,579,1,1,1,676710,94.6
2022,Merrill Kelly,merrill kelly,16.974,1363,0,1,1,518876,92.6
2022,Joel Kuhnel,joel kuhnel,16.975,412,0,1,1,669270,96.2
2022,Seth Lugo,seth lugo,16.988,526,0,1,1,607625,94.4
2022,Kyle Hendricks,kyle hendricks,16.989,642,1,1,1,543294,86.9
2022,Steve Cishek,steve cishek,16.996,597,0,1,1,518553,89.3
2022,Nick Pivetta,nick pivetta,17.008,1353,0,1,1,601713,93.4
2022,Tyler Mahle,tyler mahle,17.03,1018,1,1,1,641816,93.2
2022,Tyler Rogers,tyler rogers,17.04,596,0,1,1,643511,83.3
2022,Jacob deGrom,jacob degrom,17.073,380,0,1,1,594798,98.9
2022,Elieser Hernández,elieser hernández,17.086,478,0,1,1,622694,91.6
2022,Nick Lodolo,nick lodolo,17.087,793,1,1,1,666157,94.4
2022,Austin Davis,austin davis,17.102,526,0,1,1,656354,94.1
2022,Hunter Greene,hunter greene,17.112,940,1,1,1,668881,98.9
2022,Tim Hill,tim hill,17.121,365,1,1,0,,
2022,Jameson Taillon,jameson taillon,17.123,1273,0,1,1,592791,94.1
2022,Dallas Keuchel,dallas keuchel,17.131,542,0,1,1,572971,88.0
2022,Ross Stripling,ross stripling,17.136,891,1,1,1,548389,91.9
2022,Bryse Wilson,bryse wilson,17.147,855,0,1,1,669060,92.7
2022,Tyler Danish,tyler danish,17.169,336,1,1,0,,
2022,Trevor Williams,trevor williams,17.173,641,0,1,1,592866,91.2
2022,Shane McClanahan,shane mcclanahan,17.182,1102,0,1,1,663556,96.7
2022,Aníbal Sánchez,aníbal sánchez,17.19,562,0,1,1,434671,89.8
2022,Kyle Freeland,kyle freeland,17.201,1285,0,1,1,607536,90.3
2022,Dean Kremer,dean kremer,17.223,837,0,1,1,665152,93.5
2022,Jose Cuas,jose cuas,17.23,326,0,1,0,,
2022,Mychal Givens,mychal givens,17.249,487,1,1,1,571710,93.4
2022,Trevor Rogers,trevor rogers,17.255,843,1,1,1,669432,94.6
2022,Matt Brash,matt brash,17.268,450,0,1,1,666374,96.9
2022,Clarke Schmidt,clarke schmidt,17.285,420,0,1,1,657376,94.7
2022,Erick Fedde,erick fedde,17.294,1234,1,1,1,607200,89.6
2022,Ryan Feltner,ryan feltner,17.299,776,1,1,1,663372,94.5
2022,Dillon Tate,dillon tate,17.318,477,0,1,1,622253,94.0
2022,Charlie Morton,charlie morton,17.319,1357,0,1,1,450203,94.9
2022,David Robertson,david robertson,17.371,493,0,1,1,502085,93.0
2022,Edward Cabrera,edward cabrera,17.392,585,1,1,1,665795,96.0
