year,month,month_label,period,plate_appearances,at_bats,hits,home_runs,walks,strikeouts,avg_reported,avg_calculated,adjusted_avg,credible_interval_lower,credible_interval_upper,reliability_weight,adjustment,absolute_adjustment,on_base_percentage,slugging_percentage,on_base_plus_slugging
2016,8,8월,2016-08-01,109,97,32,2,9,21,0.33,0.32989690721649484,0.32579941765573794,0.25267175026073413,0.4034171068421472,0.6598639455782312,-0.004097489560756895,0.004097489560756895,0.376,0.495,0.871
2016,9,9월,2016-09-01,107,93,29,4,12,12,0.312,0.3118279569892473,0.3139336671006537,0.24074136458553616,0.3920557560236702,0.6503496503496503,0.002105710111406367,0.002105710111406367,0.402,0.527,0.929
2016,10,10월,2016-10-01,16,14,2,0,2,4,0.143,0.14285714285714285,0.279570537428023,0.1775005575224443,0.39468353779909626,0.21875,0.13671339457088016,0.13671339457088016,0.25,0.143,0.393
2017,3,3월,2017-03-01,4,4,2,1,0,0,0.5,0.5,0.3313428591739532,0.21346783715935183,0.4610515143102832,0.07407407407407407,-0.16865714082604683,0.16865714082604683,0.5,1.5,2.0
2017,4,4월,2017-04-01,113,100,25,3,11,23,0.25,0.25,0.2726167626359565,0.2046056479047797,0.3463700759569793,0.6666666666666666,0.022616762635956522,0.022616762635956522,0.336,0.45,0.786
2017,5,5월,2017-05-01,107,89,30,6,14,21,0.337,0.33707865168539325,0.33016197406757897,0.25472275601780053,0.4102308009389049,0.6402877697841727,-0.006916677617814282,0.006916677617814282,0.421,0.674,1.095
2017,6,6월,2017-06-01,118,102,34,4,14,22,0.333,0.3333333333333333,0.3282402262854834,0.2561026272211874,0.40465933747881705,0.6710526315789473,-0.005093107047849932,0.005093107047849932,0.415,0.578,0.993
2017,7,7월,2017-07-01,99,85,22,5,8,27,0.259,0.25882352941176473,0.28068529181772944,0.2084103963946059,0.35911416717144884,0.6296296296296297,0.021861762405964713,0.021861762405964713,0.343,0.471,0.814
2017,8,8월,2017-08-01,112,101,36,0,10,28,0.356,0.3564356435643564,0.34365903573108264,0.27024475408594867,0.4209964848252483,0.6688741721854304,-0.012776607833273779,0.012776607833273779,0.42,0.475,0.895
2017,9,9월,2017-09-01,84,76,25,2,4,15,0.329,0.32894736842105265,0.32454376504280535,0.24592209865911996,0.40844154584052783,0.6031746031746031,-0.0044036033782473005,0.0044036033782473005,0.357,0.487,0.844
